"Canton ID",Canton,"SFO Commune ID",Commune,Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,Church,Canton,Commune,Church
2,BE,572,Bönigen,297.5,190,18.4,20.7,23,297.5,190,18.4,20.7,23,262,190,18.78,262,190,18.78
2,BE,382,Büetigen,297.5,155,20,20,28.000000000000004,297.5,155,20,20,28.000000000000004,262,155,20.03,262,155,20.03
2,BE,734,Bühl,297.5,155,18.360000000000003,20,28.000000000000004,297.5,155,18.360000000000003,20,28.000000000000004,262,155,18.59,262,155,18.59
2,BE,383,"Büren an der Aare",297.5,164,19.7,20,28.000000000000004,297.5,164,19.7,20,28.000000000000004,262,164,19.8,262,164,19.8
2,BE,683,Champoz,297.5,170,23,23,30.599999999999998,297.5,170,23,23,30.599999999999998,262,170,23,262,170,23
2,BE,687,"Corcelles (BE)",297.5,194,25,20.7,30.599999999999998,297.5,194,25,20.7,30.599999999999998,262,194,23.68,262,194,23.68
2,BE,431,Corgémont,297.5,179,21.42,19.7,30.599999999999998,297.5,179,21.42,19.7,30.599999999999998,262,179,20.91,262,179,20.91
2,BE,432,Cormoret,297.5,204,25,19.7,30.599999999999998,297.5,204,25,19.7,30.599999999999998,262,204,23.45,262,204,23.45
2,BE,433,Cortébert,297.5,199,21.42,19.7,30.599999999999998,297.5,199,21.42,19.7,30.599999999999998,262,199,20.87,262,199,20.87
2,BE,690,Court,297.5,194,25.3,23,30.599999999999998,297.5,194,25.3,23,30.599999999999998,262,194,24.39,262,194,24.39
2,BE,434,Courtelary,297.5,214,25,19.7,30.599999999999998,297.5,214,25,19.7,30.599999999999998,262,214,23.189999999999998,262,214,23.189999999999998
2,BE,691,Crémines,297.5,194,25,20.7,30.599999999999998,297.5,194,25,20.7,30.599999999999998,262,194,23.04,262,194,23.04
2,BE,535,"Deisswil bei Münchenbuchsee",297.5,89,19.55,19,27.6,297.5,89,19.55,19,27.6,262,89,19.49,262,89,19.49
2,BE,762,Diemtigen,297.5,180,23,23,23,297.5,180,23,23,23,262,180,23,262,180,23
2,BE,385,"Diessbach bei Büren",297.5,180,20,20,28.000000000000004,297.5,180,20,20,28.000000000000004,262,180,20.07,262,180,20.07
2,BE,386,Dotzigen,297.5,185,20,20,28.000000000000004,297.5,185,20,20,28.000000000000004,262,185,20.1,262,185,20.1
2,BE,575,Därligen,297.5,185,15,20.7,23,297.5,185,15,20.7,23,262,185,15.85,262,185,15.85
2,BE,761,Därstetten,297.5,160,16,23,23,297.5,160,16,23,23,262,160,16.43,262,160,16.43
2,BE,952,Dürrenroth,297.5,189,23,19,27.6,297.5,189,23,19,27.6,262,189,22.770000000000003,262,189,22.770000000000003
2,BE,901,Eggiwil,297.5,180,18.4,27,27.6,297.5,180,18.4,27,27.6,262,180,18.72,262,180,18.72
2,BE,735,Epsach,297.5,170,16.1,20,28.000000000000004,297.5,170,16.1,20,28.000000000000004,262,170,16.6,262,170,16.6
2,BE,953,Eriswil,297.5,179,23,19,27.6,297.5,179,23,19,27.6,262,179,22.59,262,179,22.59
2,BE,924,Eriz,297.5,178,25.3,19.5,23,297.5,178,25.3,19.5,23,262,178,25.130000000000003,262,178,25.130000000000003
2,BE,492,Erlach,297.5,150,20.7,20,28.000000000000004,297.5,150,20.7,20,28.000000000000004,262,150,20.580000000000002,262,150,20.580000000000002
2,BE,763,"Erlenbach im Simmental",297.5,164,23,23,23,297.5,164,23,23,23,262,164,23,262,164,23
2,BE,405,Ersigen,297.5,170,16,19,27.6,297.5,170,16,19,27.6,262,170,16.29,262,170,16.29
2,BE,692,Eschert,297.5,194,25,20.7,30.599999999999998,297.5,194,25,20.7,30.599999999999998,262,194,23.07,262,194,23.07
2,BE,372,Evilard,297.5,152,23,23,28.000000000000004,297.5,152,23,23,28.000000000000004,262,152,23.07,262,152,23.07
2,BE,925,Fahrni,297.5,178,24.15,19.5,23,297.5,178,24.15,19.5,23,262,178,23.919999999999998,262,178,23.919999999999998
2,BE,975,Farnern,297.5,179,20.7,19,27.6,297.5,179,20.7,19,27.6,262,179,20.52,262,179,20.52
